fact	label	source
e528 r1 c7	1	train
e528 r0 a30	1	train
e528 r0 a9	1	train
e528 r0 a34	1	train
e528 r0 a7	1	train
e528 r0 a32	1	train
e528 r1 a14	0	train
e528 r1 a8	0	train
e528 r1 a28	0	train
e528 r1 a10	0	train
e528 r1 a1	0	train
e528 r1 a29	0	train
e3860 r1 c7	1	train
e3860 r0 a30	1	train
e3860 r0 a9	1	train
e3860 r0 a34	1	train
e3860 r0 a7	1	train
e3860 r0 a32	1	train
e3860 r1 a33	0	train
e3860 r1 a23	0	train
e3860 r1 a11	0	train
e3860 r1 a18	0	train
e3860 r1 a2	0	train
e3860 r1 a0	0	train
e3188 r1 c7	1	train
e3188 r0 a30	1	train
e3188 r0 a9	1	train
e3188 r0 a34	1	train
e3188 r0 a7	1	train
e3188 r0 a32	1	train
e3188 r1 a10	0	train
e3188 r1 a20	0	train
e3188 r1 a1	0	train
e3188 r1 a18	0	train
e3188 r1 a12	0	train
e3188 r1 a33	0	train
e1519 r1 c7	1	train
e1519 r0 a30	1	train
e1519 r0 a9	1	train
e1519 r0 a34	1	train
e1519 r0 a7	1	train
e1519 r0 a32	1	train
e1519 r1 a12	0	train
e1519 r1 a33	0	train
e1519 r1 a3	0	train
e1519 r1 a4	0	train
e1519 r1 a18	0	train
e1519 r1 a13	0	train
e656 r1 c7	1	train
e656 r0 a30	1	train
e656 r0 a9	1	train
e656 r0 a34	1	train
e656 r0 a7	1	train
e656 r0 a32	1	train
e656 r1 a31	0	train
e656 r1 a10	0	train
e656 r1 a17	0	train
e656 r1 a22	0	train
e656 r1 a20	0	train
e656 r1 a33	0	train
e4401 r1 c7	1	train
e4401 r0 a30	1	train
e4401 r0 a9	1	train
e4401 r0 a34	1	train
e4401 r0 a7	1	train
e4401 r0 a32	1	train
e4401 r1 a20	0	train
e4401 r1 a2	0	train
e4401 r1 a27	0	train
e4401 r1 a4	0	train
e4401 r1 a22	0	train
e4401 r1 a21	0	train
e1055 r1 c7	1	train
e1055 r0 a30	1	train
e1055 r0 a9	1	train
e1055 r0 a34	1	train
e1055 r0 a7	1	train
e1055 r0 a32	1	train
e1055 r1 a26	0	train
e1055 r1 a12	0	train
e1055 r1 a1	0	train
e1055 r1 a25	0	train
e1055 r1 a10	0	train
e1055 r1 a29	0	train
e1522 r1 c7	1	train
e1522 r0 a30	1	train
e1522 r0 a9	1	train
e1522 r0 a34	1	train
e1522 r0 a7	1	train
e1522 r0 a32	1	train
e1522 r1 a31	0	train
e1522 r1 a4	0	train
e1522 r1 a20	0	train
e1522 r1 a35	0	train
e1522 r1 a19	0	train
e1522 r1 a11	0	train
e3304 r1 c7	1	train
e3304 r0 a30	1	train
e3304 r0 a9	1	train
e3304 r0 a34	1	train
e3304 r0 a7	1	train
e3304 r0 a32	1	train
e3304 r1 a29	0	train
e3304 r1 a1	0	train
e3304 r1 a31	0	train
e3304 r1 a4	0	train
e3304 r1 a18	0	train
e3304 r1 a15	0	train
e4571 r1 c7	1	train
e4571 r0 a30	1	train
e4571 r0 a9	1	train
e4571 r0 a34	1	train
e4571 r0 a7	1	train
e4571 r0 a32	1	train
e4571 r1 a12	0	train
e4571 r1 a33	0	train
e4571 r1 a11	0	train
e4571 r1 a22	0	train
e4571 r1 a3	0	train
e4571 r1 a35	0	train
e2403 r1 c7	1	train
e2403 r0 a30	1	train
e2403 r0 a9	1	train
e2403 r0 a34	1	train
e2403 r0 a7	1	train
e2403 r0 a32	1	train
e2403 r1 a25	0	train
e2403 r1 a0	0	train
e2403 r1 a15	0	train
e2403 r1 a6	0	train
e2403 r1 a22	0	train
e2403 r1 a31	0	train
e3505 r1 c7	1	train
e3505 r0 a30	1	train
e3505 r0 a9	1	train
e3505 r0 a34	1	train
e3505 r0 a7	1	train
e3505 r0 a32	1	train
e3505 r1 a11	0	train
e3505 r1 a18	0	train
e3505 r1 a20	0	train
e3505 r1 a14	0	train
e3505 r1 a6	0	train
e3505 r1 a5	0	train
e821 r1 c7	1	train
e821 r0 a30	1	train
e821 r0 a9	1	train
e821 r0 a34	1	train
e821 r0 a7	1	train
e821 r0 a32	1	train
e821 r1 a4	0	train
e821 r1 a29	0	train
e821 r1 a25	0	train
e821 r1 a11	0	train
e821 r1 a21	0	train
e821 r1 a3	0	train
e2150 r1 c7	1	train
e2150 r0 a30	1	train
e2150 r0 a9	1	train
e2150 r0 a34	1	train
e2150 r0 a7	1	train
e2150 r0 a32	1	train
e2150 r1 a14	0	train
e2150 r1 a13	0	train
e2150 r1 a31	0	train
e2150 r1 a26	0	train
e2150 r1 a22	0	train
e2150 r1 a1	0	train
e603 r1 c7	1	train
e603 r0 a30	1	train
e603 r0 a9	1	train
e603 r0 a34	1	train
e603 r0 a7	1	train
e603 r0 a32	1	train
e603 r1 a27	0	train
e603 r1 a26	0	train
e603 r1 a11	0	train
e603 r1 a10	0	train
e603 r1 a33	0	train
e603 r1 a5	0	train
e1254 r1 c7	1	train
e1254 r0 a30	1	train
e1254 r0 a9	1	train
e1254 r0 a34	1	train
e1254 r0 a7	1	train
e1254 r0 a32	1	train
e1254 r1 a20	0	train
e1254 r1 a2	0	train
e1254 r1 a28	0	train
e1254 r1 a12	0	train
e1254 r1 a21	0	train
e1254 r1 a27	0	train
e4518 r1 c7	1	train
e4518 r0 a30	1	train
e4518 r0 a9	1	train
e4518 r0 a34	1	train
e4518 r0 a7	1	train
e4518 r0 a32	1	train
e4518 r1 a8	0	train
e4518 r1 a31	0	train
e4518 r1 a24	0	train
e4518 r1 a19	0	train
e4518 r1 a12	0	train
e4518 r1 a15	0	train
e3181 r1 c7	1	train
e3181 r0 a30	1	train
e3181 r0 a9	1	train
e3181 r0 a34	1	train
e3181 r0 a7	1	train
e3181 r0 a32	1	train
e3181 r1 a21	0	train
e3181 r1 a6	0	train
e3181 r1 a1	0	train
e3181 r1 a4	0	train
e3181 r1 a19	0	train
e3181 r1 a26	0	train
e3964 r1 c7	1	train
e3964 r0 a30	1	train
e3964 r0 a9	1	train
e3964 r0 a34	1	train
e3964 r0 a7	1	train
e3964 r0 a32	1	train
e3964 r1 a22	0	train
e3964 r1 a11	0	train
e3964 r1 a28	0	train
e3964 r1 a16	0	train
e3964 r1 a5	0	train
e3964 r1 a15	0	train
e3172 r1 c7	1	train
e3172 r0 a30	1	train
e3172 r0 a9	1	train
e3172 r0 a34	1	train
e3172 r0 a7	1	train
e3172 r0 a32	1	train
e3172 r1 a26	0	train
e3172 r1 a13	0	train
e3172 r1 a17	0	train
e3172 r1 a31	0	train
e3172 r1 a3	0	train
e3172 r1 a24	0	train
e1204 r1 c7	1	train
e1204 r0 a30	1	train
e1204 r0 a9	1	train
e1204 r0 a34	1	train
e1204 r0 a7	1	train
e1204 r0 a32	1	train
e1204 r1 a1	0	train
e1204 r1 a3	0	train
e1204 r1 a10	0	train
e1204 r1 a17	0	train
e1204 r1 a16	0	train
e1204 r1 a33	0	train
e2815 r1 c7	1	train
e2815 r0 a30	1	train
e2815 r0 a9	1	train
e2815 r0 a34	1	train
e2815 r0 a7	1	train
e2815 r0 a32	1	train
e2815 r1 a23	0	train
e2815 r1 a19	0	train
e2815 r1 a29	0	train
e2815 r1 a6	0	train
e2815 r1 a0	0	train
e2815 r1 a12	0	train
e1796 r1 c7	1	train
e1796 r0 a30	1	train
e1796 r0 a9	1	train
e1796 r0 a34	1	train
e1796 r0 a7	1	train
e1796 r0 a32	1	train
e1796 r1 a11	0	train
e1796 r1 a6	0	train
e1796 r1 a5	0	train
e1796 r1 a21	0	train
e1796 r1 a31	0	train
e1796 r1 a14	0	train
e1250 r1 c7	1	train
e1250 r0 a30	1	train
e1250 r0 a9	1	train
e1250 r0 a34	1	train
e1250 r0 a7	1	train
e1250 r0 a32	1	train
e1250 r1 a13	0	train
e1250 r1 a29	0	train
e1250 r1 a8	0	train
e1250 r1 a1	0	train
e1250 r1 a14	0	train
e1250 r1 a5	0	train
e128 r1 c7	1	train
e128 r0 a30	1	train
e128 r0 a9	1	train
e128 r0 a34	1	train
e128 r0 a7	1	train
e128 r0 a32	1	train
e128 r1 a13	0	train
e128 r1 a29	0	train
e128 r1 a17	0	train
e128 r1 a12	0	train
e128 r1 a16	0	train
e128 r1 a18	0	train
e4775 r1 c7	1	train
e4775 r0 a30	1	train
e4775 r0 a9	1	train
e4775 r0 a34	1	train
e4775 r0 a7	1	train
e4775 r0 a32	1	train
e4775 r1 a13	0	train
e4775 r1 a33	0	train
e4775 r1 a10	0	train
e4775 r1 a35	0	train
e4775 r1 a28	0	train
e4775 r1 a8	0	train
e348 r1 c7	1	train
e348 r0 a30	1	train
e348 r0 a9	1	train
e348 r0 a34	1	train
e348 r0 a7	1	train
e348 r0 a32	1	train
e348 r1 a33	0	train
e348 r1 a28	0	train
e348 r1 a19	0	train
e348 r1 a3	0	train
e348 r1 a23	0	train
e348 r1 a6	0	train
e2036 r1 c7	1	train
e2036 r0 a30	1	train
e2036 r0 a9	1	train
e2036 r0 a34	1	train
e2036 r0 a7	1	train
e2036 r0 a32	1	train
e2036 r1 a31	0	train
e2036 r1 a19	0	train
e2036 r1 a15	0	train
e2036 r1 a27	0	train
e2036 r1 a33	0	train
e2036 r1 a2	0	train
e3805 r1 c7	1	train
e3805 r0 a30	1	train
e3805 r0 a9	1	train
e3805 r0 a34	1	train
e3805 r0 a7	1	train
e3805 r0 a32	1	train
e3805 r1 a23	0	train
e3805 r1 a5	0	train
e3805 r1 a0	0	train
e3805 r1 a8	0	train
e3805 r1 a4	0	train
e3805 r1 a29	0	train
e3004 r1 c7	1	train
e3004 r0 a30	1	train
e3004 r0 a9	1	train
e3004 r0 a34	1	train
e3004 r0 a7	1	train
e3004 r0 a32	1	train
e3004 r1 a10	0	train
e3004 r1 a13	0	train
e3004 r1 a35	0	train
e3004 r1 a11	0	train
e3004 r1 a22	0	train
e3004 r1 a6	0	train
e519 r1 c7	1	train
e519 r0 a30	1	train
e519 r0 a9	1	train
e519 r0 a34	1	train
e519 r0 a7	1	train
e519 r0 a32	1	train
e519 r1 a25	0	train
e519 r1 a2	0	train
e519 r1 a3	0	train
e519 r1 a1	0	train
e519 r1 a21	0	train
e519 r1 a16	0	train
e3587 r1 c7	1	train
e3587 r0 a30	1	train
e3587 r0 a9	1	train
e3587 r0 a34	1	train
e3587 r0 a7	1	train
e3587 r0 a32	1	train
e3587 r1 a15	0	train
e3587 r1 a31	0	train
e3587 r1 a25	0	train
e3587 r1 a29	0	train
e3587 r1 a5	0	train
e3587 r1 a17	0	train
e1922 r1 c7	1	train
e1922 r0 a30	1	train
e1922 r0 a9	1	train
e1922 r0 a34	1	train
e1922 r0 a7	1	train
e1922 r0 a32	1	train
e1922 r1 a19	0	train
e1922 r1 a3	0	train
e1922 r1 a24	0	train
e1922 r1 a5	0	train
e1922 r1 a15	0	train
e1922 r1 a28	0	train
e1087 r1 c7	1	train
e1087 r0 a30	1	train
e1087 r0 a9	1	train
e1087 r0 a34	1	train
e1087 r0 a7	1	train
e1087 r0 a32	1	train
e1087 r1 a19	0	train
e1087 r1 a5	0	train
e1087 r1 a25	0	train
e1087 r1 a14	0	train
e1087 r1 a16	0	train
e1087 r1 a33	0	train
e2752 r1 c7	1	train
e2752 r0 a30	1	train
e2752 r0 a9	1	train
e2752 r0 a34	1	train
e2752 r0 a7	1	train
e2752 r0 a32	1	train
e2752 r1 a20	0	train
e2752 r1 a6	0	train
e2752 r1 a35	0	train
e2752 r1 a31	0	train
e2752 r1 a25	0	train
e2752 r1 a8	0	train
e3560 r1 c7	1	train
e3560 r0 a30	1	train
e3560 r0 a9	1	train
e3560 r0 a34	1	train
e3560 r0 a7	1	train
e3560 r0 a32	1	train
e3560 r1 a14	0	train
e3560 r1 a4	0	train
e3560 r1 a10	0	train
e3560 r1 a28	0	train
e3560 r1 a0	0	train
e3560 r1 a31	0	train
e1949 r1 c7	1	train
e1949 r0 a30	1	train
e1949 r0 a9	1	train
e1949 r0 a34	1	train
e1949 r0 a7	1	train
e1949 r0 a32	1	train
e1949 r1 a14	0	train
e1949 r1 a21	0	train
e1949 r1 a27	0	train
e1949 r1 a8	0	train
e1949 r1 a33	0	train
e1949 r1 a4	0	train
e2900 r1 c7	1	train
e2900 r0 a30	1	train
e2900 r0 a9	1	train
e2900 r0 a34	1	train
e2900 r0 a7	1	train
e2900 r0 a32	1	train
e2900 r1 a29	0	train
e2900 r1 a22	0	train
e2900 r1 a15	0	train
e2900 r1 a5	0	train
e2900 r1 a26	0	train
e2900 r1 a35	0	train
e2274 r1 c7	1	train
e2274 r0 a30	1	train
e2274 r0 a9	1	train
e2274 r0 a34	1	train
e2274 r0 a7	1	train
e2274 r0 a32	1	train
e2274 r1 a21	0	train
e2274 r1 a10	0	train
e2274 r1 a35	0	train
e2274 r1 a33	0	train
e2274 r1 a1	0	train
e2274 r1 a2	0	train
e3024 r1 c7	1	train
e3024 r0 a30	1	train
e3024 r0 a9	1	train
e3024 r0 a34	1	train
e3024 r0 a7	1	train
e3024 r0 a32	1	train
e3024 r1 a15	0	train
e3024 r1 a33	0	train
e3024 r1 a26	0	train
e3024 r1 a24	0	train
e3024 r1 a27	0	train
e3024 r1 a11	0	train
e4181 r1 c7	1	train
e4181 r0 a30	1	train
e4181 r0 a9	1	train
e4181 r0 a34	1	train
e4181 r0 a7	1	train
e4181 r0 a32	1	train
e4181 r1 a11	0	train
e4181 r1 a20	0	train
e4181 r1 a6	0	train
e4181 r1 a1	0	train
e4181 r1 a25	0	train
e4181 r1 a23	0	train
e916 r1 c7	1	train
e916 r0 a30	1	train
e916 r0 a9	1	train
e916 r0 a34	1	train
e916 r0 a7	1	train
e916 r0 a32	1	train
e916 r1 a18	0	train
e916 r1 a1	0	train
e916 r1 a4	0	train
e916 r1 a31	0	train
e916 r1 a8	0	train
e916 r1 a6	0	train
e1371 r1 c7	1	train
e1371 r0 a30	1	train
e1371 r0 a9	1	train
e1371 r0 a34	1	train
e1371 r0 a7	1	train
e1371 r0 a32	1	train
