fact	label	source
e3907 r0 a89	1	train
e3907 not r0 a89	0	train
e3907 not r0 a88	1	train
e3907 r0 a88	0	train
e714 r0 a96	1	train
e714 not r0 a96	0	train
e714 not r0 a97	1	train
e714 r0 a97	0	train
e1663 r0 a190	1	train
e1663 not r0 a190	0	train
e1663 not r0 a191	1	train
e1663 r0 a191	0	train
e782 r0 a139	1	train
e782 not r0 a139	0	train
e782 not r0 a138	1	train
e782 r0 a138	0	train
e1016 not r0 a199	1	train
e1016 r0 a199	0	train
e1016 r0 a198	1	train
e1016 not r0 a198	0	train
e4635 r0 a164	1	train
e4635 not r0 a164	0	train
e4635 not r0 a165	1	train
e4635 r0 a165	0	train
e3710 r0 a94	1	train
e3710 not r0 a94	0	train
e3710 not r0 a95	1	train
e3710 r0 a95	0	train
e353 not r0 a31	1	train
e353 r0 a31	0	train
e353 r0 a30	1	train
e353 not r0 a30	0	train
e2201 r0 a147	1	train
e2201 not r0 a147	0	train
e2201 not r0 a146	1	train
e2201 r0 a146	0	train
e4749 r0 a147	1	train
e4749 not r0 a147	0	train
e4749 not r0 a146	1	train
e4749 r0 a146	0	train
e2689 not r0 a65	1	train
e2689 r0 a65	0	train
e2689 r0 a64	1	train
e2689 not r0 a64	0	train
e3027 not r0 a192	1	train
e3027 r0 a192	0	train
e3027 r0 a193	1	train
e3027 not r0 a193	0	train
e1033 not r0 a1	1	train
e1033 r0 a1	0	train
e1033 r0 a0	1	train
e1033 not r0 a0	0	train
e4803 not r0 a3	1	train
e4803 r0 a3	0	train
e4803 r0 a2	1	train
e4803 not r0 a2	0	train
e3333 r0 a186	1	train
e3333 not r0 a186	0	train
e3333 not r0 a187	1	train
e3333 r0 a187	0	train
e2965 not r0 a25	1	train
e2965 r0 a25	0	train
e2965 r0 a24	1	train
e2965 not r0 a24	0	train
e3169 r0 a183	1	train
e3169 not r0 a183	0	train
e3169 not r0 a182	1	train
e3169 r0 a182	0	train
e3077 r0 a72	1	train
e3077 not r0 a72	0	train
e3077 not r0 a73	1	train
e3077 r0 a73	0	train
e385 not r0 a123	1	train
e385 r0 a123	0	train
e385 r0 a122	1	train
e385 not r0 a122	0	train
e2692 not r0 a19	1	train
e2692 r0 a19	0	train
e2692 r0 a18	1	train
e2692 not r0 a18	0	train
e3552 r0 a115	1	train
e3552 not r0 a115	0	train
e3552 not r0 a114	1	train
e3552 r0 a114	0	train
e1582 r0 a6	1	train
e1582 not r0 a6	0	train
e1582 not r0 a7	1	train
e1582 r0 a7	0	train
e2675 r0 a0	1	train
e2675 not r0 a0	0	train
e2675 not r0 a1	1	train
e2675 r0 a1	0	train
e2932 not r0 a69	1	train
e2932 r0 a69	0	train
e2932 r0 a68	1	train
e2932 not r0 a68	0	train
e3560 not r0 a189	1	train
e3560 r0 a189	0	train
e3560 r0 a188	1	train
e3560 not r0 a188	0	train
e241 not r0 a21	1	train
e241 r0 a21	0	train
e241 r0 a20	1	train
e241 not r0 a20	0	train
e3446 r0 a79	1	train
e3446 not r0 a79	0	train
e3446 not r0 a78	1	train
e3446 r0 a78	0	train
e1358 not r0 a22	1	train
e1358 r0 a22	0	train
e1358 r0 a23	1	train
e1358 not r0 a23	0	train
e544 r0 a86	1	train
e544 not r0 a86	0	train
e544 not r0 a87	1	train
e544 r0 a87	0	train
e2552 r0 a193	1	train
e2552 not r0 a193	0	train
e2552 not r0 a192	1	train
e2552 r0 a192	0	train
e1920 r0 a193	1	train
e1920 not r0 a193	0	train
e1920 not r0 a192	1	train
e1920 r0 a192	0	train
e4462 r0 a44	1	train
e4462 not r0 a44	0	train
e4462 not r0 a45	1	train
e4462 r0 a45	0	train
e2656 not r0 a41	1	train
e2656 r0 a41	0	train
