fact	label	source
e3732 r249 a434	1	train
e3732 not r249 a434	0	train
e3732 not r249 a435	1	train
e3732 r249 a435	0	train
e2657 not r249 a579	1	train
e2657 r249 a579	0	train
e2657 r249 a578	1	train
e2657 not r249 a578	0	train
e1119 not r249 a282	1	train
e1119 r249 a282	0	train
e1119 r249 a283	1	train
e1119 not r249 a283	0	train
e4271 r249 a138	1	train
e4271 not r249 a138	0	train
e4271 not r249 a139	1	train
e4271 r249 a139	0	train
e2772 not r249 a232	1	train
e2772 r249 a232	0	train
e2772 r249 a233	1	train
e2772 not r249 a233	0	train
e2542 r249 a856	1	train
e2542 not r249 a856	0	train
e2542 not r249 a857	1	train
e2542 r249 a857	0	train
e2484 not r249 a544	1	train
e2484 r249 a544	0	train
e2484 r249 a545	1	train
e2484 not r249 a545	0	train
e3986 r249 a344	1	train
e3986 not r249 a344	0	train
e3986 not r249 a345	1	train
e3986 r249 a345	0	train
e4031 r249 a983	1	train
e4031 not r249 a983	0	train
e4031 not r249 a982	1	train
e4031 r249 a982	0	train
e3830 r249 a450	1	train
e3830 not r249 a450	0	train
e3830 not r249 a451	1	train
e3830 r249 a451	0	train
e258 r249 a932	1	train
e258 not r249 a932	0	train
e258 not r249 a933	1	train
e258 r249 a933	0	train
e7 not r249 a149	1	train
e7 r249 a149	0	train
e7 r249 a148	1	train
e7 not r249 a148	0	train
e99 r249 a689	1	train
e99 not r249 a689	0	train
e99 not r249 a688	1	train
e99 r249 a688	0	train
e1965 not r249 a987	1	train
e1965 r249 a987	0	train
e1965 r249 a986	1	train
e1965 not r249 a986	0	train
e3228 not r249 a293	1	train
e3228 r249 a293	0	train
e3228 r249 a292	1	train
e3228 not r249 a292	0	train
e375 not r249 a688	1	train
e375 r249 a688	0	train
e375 r249 a689	1	train
e375 not r249 a689	0	train
e713 r249 a564	1	train
e713 not r249 a564	0	train
e713 not r249 a565	1	train
e713 r249 a565	0	train
e29 not r249 a850	1	train
e29 r249 a850	0	train
e29 r249 a851	1	train
e29 not r249 a851	0	train
e1688 r249 a98	1	train
e1688 not r249 a98	0	train
