fact	label	source
e2302 r2 a399	1	train
e2302 not r2 a399	0	train
e2302 not r2 a398	1	train
e2302 r2 a398	0	train
e2846 r2 a422	1	train
e2846 not r2 a422	0	train
e2846 not r2 a423	1	train
e2846 r2 a423	0	train
e61 r2 a359	1	train
e61 not r2 a359	0	train
e61 not r2 a358	1	train
e61 r2 a358	0	train
e3989 not r2 a488	1	train
e3989 r2 a488	0	train
e3989 r2 a489	1	train
e3989 not r2 a489	0	train
e271 r2 a387	1	train
e271 not r2 a387	0	train
e271 not r2 a386	1	train
e271 r2 a386	0	train
e2721 not r2 a113	1	train
e2721 r2 a113	0	train
e2721 r2 a112	1	train
e2721 not r2 a112	0	train
e3910 r2 a56	1	train
e3910 not r2 a56	0	train
e3910 not r2 a57	1	train
e3910 r2 a57	0	train
e4073 not r2 a161	1	train
e4073 r2 a161	0	train
e4073 r2 a160	1	train
e4073 not r2 a160	0	train
e2485 r2 a398	1	train
e2485 not r2 a398	0	train
e2485 not r2 a399	1	train
e2485 r2 a399	0	train
e2598 not r2 a322	1	train
e2598 r2 a322	0	train
e2598 r2 a323	1	train
e2598 not r2 a323	0	train
e4233 not r2 a29	1	train
e4233 r2 a29	0	train
e4233 r2 a28	1	train
e4233 not r2 a28	0	train
e1296 not r2 a339	1	train
e1296 r2 a339	0	train
e1296 r2 a338	1	train
e1296 not r2 a338	0	train
e2233 not r2 a47	1	train
e2233 r2 a47	0	train
e2233 r2 a46	1	train
e2233 not r2 a46	0	train
e4758 not r2 a369	1	train
e4758 r2 a369	0	train
e4758 r2 a368	1	train
e4758 not r2 a368	0	train
e3307 not r2 a154	1	train
e3307 r2 a154	0	train
e3307 r2 a155	1	train
e3307 not r2 a155	0	train
e1275 not r2 a469	1	train
e1275 r2 a469	0	train
e1275 r2 a468	1	train
e1275 not r2 a468	0	train
e50 r2 a90	1	train
e50 not r2 a90	0	train
e50 not r2 a91	1	train
e50 r2 a91	0	train
e3243 not r2 a93	1	train
e3243 r2 a93	0	train
e3243 r2 a92	1	train
e3243 not r2 a92	0	train
e182 r2 a489	1	train
e182 not r2 a489	0	train
e182 not r2 a488	1	train
e182 r2 a488	0	train
e4469 r2 a320	1	train
e4469 not r2 a320	0	train
