fact	label	source
e2978 not r68 a364	1	train
e2978 r68 a364	0	train
e2978 r68 a365	1	train
e2978 not r68 a365	0	train
e3335 not r68 a942	1	train
e3335 r68 a942	0	train
e3335 r68 a943	1	train
e3335 not r68 a943	0	train
e3718 r68 a396	1	train
e3718 not r68 a396	0	train
e3718 not r68 a397	1	train
e3718 r68 a397	0	train
e234 r68 a201	1	train
e234 not r68 a201	0	train
e234 not r68 a200	1	train
e234 r68 a200	0	train
e4977 r68 a3	1	train
e4977 not r68 a3	0	train
e4977 not r68 a2	1	train
e4977 r68 a2	0	train
e4674 not r68 a428	1	train
e4674 r68 a428	0	train
e4674 r68 a429	1	train
e4674 not r68 a429	0	train
e2902 not r68 a131	1	train
e2902 r68 a131	0	train
e2902 r68 a130	1	train
e2902 not r68 a130	0	train
e3293 not r68 a771	1	train
e3293 r68 a771	0	train
e3293 r68 a770	1	train
e3293 not r68 a770	0	train
e4963 r68 a576	1	train
e4963 not r68 a576	0	train
e4963 not r68 a577	1	train
e4963 r68 a577	0	train
e3025 r68 a740	1	train
e3025 not r68 a740	0	train
e3025 not r68 a741	1	train
e3025 r68 a741	0	train
e4919 not r68 a369	1	train
e4919 r68 a369	0	train
e4919 r68 a368	1	train
e4919 not r68 a368	0	train
e794 not r68 a198	1	train
e794 r68 a198	0	train
e794 r68 a199	1	train
e794 not r68 a199	0	train
e1170 r68 a433	1	train
e1170 not r68 a433	0	train
e1170 not r68 a432	1	train
e1170 r68 a432	0	train
e2403 r68 a317	1	train
e2403 not r68 a317	0	train
e2403 not r68 a316	1	train
e2403 r68 a316	0	train
e3408 not r68 a535	1	train
e3408 r68 a535	0	train
e3408 r68 a534	1	train
e3408 not r68 a534	0	train
e727 r68 a994	1	train
e727 not r68 a994	0	train
e727 not r68 a995	1	train
e727 r68 a995	0	train
e4920 r68 a995	1	train
e4920 not r68 a995	0	train
e4920 not r68 a994	1	train
e4920 r68 a994	0	train
e2104 r68 a919	1	train
e2104 not r68 a919	0	train
e2104 not r68 a918	1	train
e2104 r68 a918	0	train
e2004 r68 a836	1	train
e2004 not r68 a836	0	train
e2004 not r68 a837	1	train
e2004 r68 a837	0	train
e3422 r68 a808	1	train
e3422 not r68 a808	0	train
e3422 not r68 a809	1	train
e3422 r68 a809	0	train
e1025 r68 a154	1	train
e1025 not r68 a154	0	train
e1025 not r68 a155	1	train
e1025 r68 a155	0	train
e1087 not r68 a146	1	train
e1087 r68 a146	0	train
e1087 r68 a147	1	train
e1087 not r68 a147	0	train
e58 r68 a176	1	train
e58 not r68 a176	0	train
e58 not r68 a177	1	train
e58 r68 a177	0	train
e4349 not r68 a565	1	train
e4349 r68 a565	0	train
e4349 r68 a564	1	train
e4349 not r68 a564	0	train
e4218 r68 a909	1	train
e4218 not r68 a909	0	train
e4218 not r68 a908	1	train
e4218 r68 a908	0	train
e1347 not r68 a890	1	train
e1347 r68 a890	0	train
e1347 r68 a891	1	train
e1347 not r68 a891	0	train
e3420 r68 a856	1	train
e3420 not r68 a856	0	train
e3420 not r68 a857	1	train
e3420 r68 a857	0	train
e4520 not r68 a150	1	train
e4520 r68 a150	0	train
e4520 r68 a151	1	train
e4520 not r68 a151	0	train
e3750 r68 a144	1	train
e3750 not r68 a144	0	train
e3750 not r68 a145	1	train
e3750 r68 a145	0	train
e2895 not r68 a895	1	train
e2895 r68 a895	0	train
e2895 r68 a894	1	train
e2895 not r68 a894	0	train
e4580 not r68 a990	1	train
e4580 r68 a990	0	train
e4580 r68 a991	1	train
e4580 not r68 a991	0	train
e86 not r68 a271	1	train
e86 r68 a271	0	train
e86 r68 a270	1	train
e86 not r68 a270	0	train
e3706 r68 a872	1	train
e3706 not r68 a872	0	train
e3706 not r68 a873	1	train
e3706 r68 a873	0	train
e4038 r68 a449	1	train
e4038 not r68 a449	0	train
e4038 not r68 a448	1	train
e4038 r68 a448	0	train
e2046 not r68 a550	1	train
e2046 r68 a550	0	train
e2046 r68 a551	1	train
e2046 not r68 a551	0	train
e3377 not r68 a78	1	train
e3377 r68 a78	0	train
e3377 r68 a79	1	train
e3377 not r68 a79	0	train
e1601 r68 a368	1	train
e1601 not r68 a368	0	train
e1601 not r68 a369	1	train
e1601 r68 a369	0	train
e4934 r68 a136	1	train
e4934 not r68 a136	0	train
e4934 not r68 a137	1	train
e4934 r68 a137	0	train
e3449 not r68 a59	1	train
e3449 r68 a59	0	train
e3449 r68 a58	1	train
e3449 not r68 a58	0	train
e426 not r68 a234	1	train
e426 r68 a234	0	train
e426 r68 a235	1	train
e426 not r68 a235	0	train
e2592 r68 a14	1	train
e2592 not r68 a14	0	train
e2592 not r68 a15	1	train
e2592 r68 a15	0	train
e1909 not r68 a432	1	train
e1909 r68 a432	0	train
e1909 r68 a433	1	train
e1909 not r68 a433	0	train
e1785 r68 a995	1	train
e1785 not r68 a995	0	train
e1785 not r68 a994	1	train
e1785 r68 a994	0	train
e2023 not r68 a292	1	train
e2023 r68 a292	0	train
e2023 r68 a293	1	train
e2023 not r68 a293	0	train
e2593 r68 a200	1	train
e2593 not r68 a200	0	train
e2593 not r68 a201	1	train
e2593 r68 a201	0	train
e4073 not r68 a963	1	train
e4073 r68 a963	0	train
e4073 r68 a962	1	train
e4073 not r68 a962	0	train
e4652 r68 a486	1	train
e4652 not r68 a486	0	train
e4652 not r68 a487	1	train
e4652 r68 a487	0	train
e2855 r68 a583	1	train
e2855 not r68 a583	0	train
e2855 not r68 a582	1	train
e2855 r68 a582	0	train
e1444 not r68 a912	1	train
e1444 r68 a912	0	train
e1444 r68 a913	1	train
e1444 not r68 a913	0	train
e2493 not r68 a151	1	train
e2493 r68 a151	0	train
e2493 r68 a150	1	train
e2493 not r68 a150	0	train
e3933 not r68 a875	1	train
e3933 r68 a875	0	train
e3933 r68 a874	1	train
e3933 not r68 a874	0	train
e311 r68 a316	1	train
e311 not r68 a316	0	train
e311 not r68 a317	1	train
e311 r68 a317	0	train
e2340 r68 a307	1	train
e2340 not r68 a307	0	train
e2340 not r68 a306	1	train
e2340 r68 a306	0	train
e2251 not r68 a802	1	train
e2251 r68 a802	0	train
e2251 r68 a803	1	train
e2251 not r68 a803	0	train
e1145 r68 a512	1	train
e1145 not r68 a512	0	train
e1145 not r68 a513	1	train
e1145 r68 a513	0	train
e4823 r68 a866	1	train
e4823 not r68 a866	0	train
e4823 not r68 a867	1	train
e4823 r68 a867	0	train
e2917 r68 a513	1	train
e2917 not r68 a513	0	train
e2917 not r68 a512	1	train
e2917 r68 a512	0	train
e3248 not r68 a683	1	train
e3248 r68 a683	0	train
e3248 r68 a682	1	train
e3248 not r68 a682	0	train
e2981 not r68 a541	1	train
e2981 r68 a541	0	train
e2981 r68 a540	1	train
e2981 not r68 a540	0	train
e477 r68 a171	1	train
e477 not r68 a171	0	train
e477 not r68 a170	1	train
e477 r68 a170	0	train
e4369 r68 a327	1	train
e4369 not r68 a327	0	train
e4369 not r68 a326	1	train
e4369 r68 a326	0	train
e2849 not r68 a223	1	train
e2849 r68 a223	0	train
e2849 r68 a222	1	train
e2849 not r68 a222	0	train
e2344 r68 a924	1	train
e2344 not r68 a924	0	train
e2344 not r68 a925	1	train
e2344 r68 a925	0	train
e3433 r68 a611	1	train
e3433 not r68 a611	0	train
e3433 not r68 a610	1	train
e3433 r68 a610	0	train
e4216 not r68 a242	1	train
e4216 r68 a242	0	train
e4216 r68 a243	1	train
e4216 not r68 a243	0	train
e141 not r68 a779	1	train
e141 r68 a779	0	train
e141 r68 a778	1	train
e141 not r68 a778	0	train
e765 not r68 a110	1	train
e765 r68 a110	0	train
e765 r68 a111	1	train
e765 not r68 a111	0	train
e4310 r68 a385	1	train
e4310 not r68 a385	0	train
e4310 not r68 a384	1	train
e4310 r68 a384	0	train
e3847 r68 a528	1	train
e3847 not r68 a528	0	train
e3847 not r68 a529	1	train
e3847 r68 a529	0	train
e566 r68 a682	1	train
e566 not r68 a682	0	train
e566 not r68 a683	1	train
e566 r68 a683	0	train
e4660 r68 a966	1	train
e4660 not r68 a966	0	train
e4660 not r68 a967	1	train
e4660 r68 a967	0	train
e1877 r68 a961	1	train
e1877 not r68 a961	0	train
e1877 not r68 a960	1	train
e1877 r68 a960	0	train
e4633 r68 a883	1	train
e4633 not r68 a883	0	train
e4633 not r68 a882	1	train
e4633 r68 a882	0	train
e171 not r68 a808	1	train
e171 r68 a808	0	train
e171 r68 a809	1	train
e171 not r68 a809	0	train
e2992 r68 a514	1	train
e2992 not r68 a514	0	train
e2992 not r68 a515	1	train
e2992 r68 a515	0	train
e3457 r68 a115	1	train
e3457 not r68 a115	0	train
e3457 not r68 a114	1	train
e3457 r68 a114	0	train
e1834 not r68 a689	1	train
e1834 r68 a689	0	train
e1834 r68 a688	1	train
e1834 not r68 a688	0	train
e2805 r68 a748	1	train
e2805 not r68 a748	0	train
e2805 not r68 a749	1	train
e2805 r68 a749	0	train
