fact	label	source
e2657 not r54 a467	1	train
e2657 r54 a467	0	train
e2657 r54 a466	1	train
e2657 not r54 a466	0	train
e4903 r54 a100	1	train
e4903 not r54 a100	0	train
e4903 not r54 a101	1	train
e4903 r54 a101	0	train
e2937 not r54 a187	1	train
e2937 r54 a187	0	train
e2937 r54 a186	1	train
e2937 not r54 a186	0	train
e1802 not r54 a188	1	train
e1802 r54 a188	0	train
e1802 r54 a189	1	train
e1802 not r54 a189	0	train
e708 not r54 a310	1	train
e708 r54 a310	0	train
e708 r54 a311	1	train
e708 not r54 a311	0	train
e470 r54 a916	1	train
e470 not r54 a916	0	train
e470 not r54 a917	1	train
e470 r54 a917	0	train
e3204 not r54 a544	1	train
e3204 r54 a544	0	train
e3204 r54 a545	1	train
e3204 not r54 a545	0	train
e2396 r54 a801	1	train
e2396 not r54 a801	0	train
e2396 not r54 a800	1	train
e2396 r54 a800	0	train
e644 r54 a1	1	train
e644 not r54 a1	0	train
e644 not r54 a0	1	train
e644 r54 a0	0	train
e1237 not r54 a186	1	train
e1237 r54 a186	0	train
e1237 r54 a187	1	train
e1237 not r54 a187	0	train
e2972 r54 a577	1	train
e2972 not r54 a577	0	train
e2972 not r54 a576	1	train
e2972 r54 a576	0	train
e1632 not r54 a195	1	train
e1632 r54 a195	0	train
e1632 r54 a194	1	train
e1632 not r54 a194	0	train
e4492 not r54 a999	1	train
e4492 r54 a999	0	train
e4492 r54 a998	1	train
e4492 not r54 a998	0	train
e4212 r54 a818	1	train
e4212 not r54 a818	0	train
e4212 not r54 a819	1	train
e4212 r54 a819	0	train
e653 r54 a466	1	train
e653 not r54 a466	0	train
e653 not r54 a467	1	train
e653 r54 a467	0	train
e3389 not r54 a617	1	train
e3389 r54 a617	0	train
e3389 r54 a616	1	train
e3389 not r54 a616	0	train
e1062 r54 a390	1	train
e1062 not r54 a390	0	train
e1062 not r54 a391	1	train
e1062 r54 a391	0	train
e4723 not r54 a935	1	train
e4723 r54 a935	0	train
e4723 r54 a934	1	train
e4723 not r54 a934	0	train
e3220 not r54 a518	1	train
e3220 r54 a518	0	train
e3220 r54 a519	1	train
e3220 not r54 a519	0	train
e4621 not r54 a421	1	train
e4621 r54 a421	0	train
e4621 r54 a420	1	train
e4621 not r54 a420	0	train
e3329 r54 a715	1	train
e3329 not r54 a715	0	train
e3329 not r54 a714	1	train
e3329 r54 a714	0	train
e86 r54 a148	1	train
e86 not r54 a148	0	train
e86 not r54 a149	1	train
e86 r54 a149	0	train
e112 r54 a940	1	train
e112 not r54 a940	0	train
e112 not r54 a941	1	train
e112 r54 a941	0	train
e1276 r54 a991	1	train
e1276 not r54 a991	0	train
e1276 not r54 a990	1	train
e1276 r54 a990	0	train
e3227 r54 a683	1	train
e3227 not r54 a683	0	train
e3227 not r54 a682	1	train
e3227 r54 a682	0	train
e2663 r54 a566	1	train
e2663 not r54 a566	0	train
e2663 not r54 a567	1	train
e2663 r54 a567	0	train
e4079 not r54 a27	1	train
e4079 r54 a27	0	train
e4079 r54 a26	1	train
e4079 not r54 a26	0	train
e947 r54 a131	1	train
e947 not r54 a131	0	train
e947 not r54 a130	1	train
e947 r54 a130	0	train
e843 not r54 a941	1	train
e843 r54 a941	0	train
e843 r54 a940	1	train
e843 not r54 a940	0	train
e1865 r54 a774	1	train
e1865 not r54 a774	0	train
e1865 not r54 a775	1	train
